step,risk,HR,HRV,EDA
2,0.35933733881813834,87.07333385254724,35.17346904619803,29.011735690075085
3,0.7436320320118814,87.25634542197912,25.09385066394704,29.2627914103423
4,0.8591125111230845,87.37522464180739,37.54861018300924,29.462856431782694
5,0.694800569330897,87.41997562464996,45.78843572874129,29.494705522977632
6,0.2087327890209304,87.45391873104076,43.536613774860896,29.513949072144698
7,0.8309673413123989,87.48775637466785,48.62407072742114,29.522147298700922
8,0.6559768267154833,87.48838464265224,41.79847750194393,29.592786757769158
9,0.2381310296676855,87.56815279822742,36.17082008186675,29.755393980195702
10,0.6992995506908865,87.60410618061341,43.807358836411865,29.91750910924567
11,0.7958121515256912,87.5425862628337,50.52074704832491,29.923104970497157
12,0.10430971405681022,87.61735342095909,44.82365065108397,29.977956322528463
13,0.6179744033286486,87.62165713222879,46.54261848078175,30.077620580842684
14,0.5544346802287351,87.7176093777853,40.76081694189701,30.170571006662044
15,0.496295487077843,87.80898592287035,43.37987175352976,30.278565587182513
16,0.1642040040053917,87.94891290597201,34.978030421143714,30.483028163744788
17,0.8109822279681911,88.04921777072309,48.65241827372741,30.543618676938273
18,0.6960289001841241,88.17546178576944,38.39034947872157,30.75382674448851
19,0.5968076839412277,88.19324918756189,38.890249450302846,30.881375650480585
20,0.7675634168756814,88.4443944536548,27.11613179527339,31.20186565632226
21,0.877321840144526,64.12870278011181,43.26462570449571,0.6197730766819065
22,0.15004074051390281,64.20451083748227,33.44163140346805,0.8533346726357998
23,0.9074430896861426,64.39255582555819,27.9491348505656,1.126798778788599
24,0.8560860623312468,64.52532955657412,34.284598975604226,1.3557925407893652
25,0.36650943425763893,64.56724078882033,43.87118447534286,1.4258277394538845
26,0.8360270036252465,64.78179080834592,27.61482743044839,1.6943680281760902
27,0.3609797850169657,64.84344534234637,32.124894666150794,1.8555578597322977
28,0.49494230504229286,64.92894095686366,46.128799804999545,1.9152490969800213
29,0.21999922770947478,65.09022912351635,32.22330381950074,2.1215765095497874
30,0.003124131688124643,65.31439254568315,31.152949288904214,2.3672890474142854
31,0.8796100704126272,65.26031686164535,46.839370275032785,2.3907939522139503
32,0.03975133022252353,65.44188030652445,35.867295631530475,2.5591662419228296
33,0.6813044153790283,65.5858085688101,35.95261724034051,2.731770176329513
34,0.6077213581904609,65.65506869296996,38.01833425515252,2.8504172299144463
35,0.3395974679608047,65.73067804893161,43.255936666484395,2.8807415940261403
36,0.6341389091795994,65.98757076305392,31.942717761677915,3.1476450962313574
37,0.2574265749251946,66.0681057480212,30.138504596495867,3.36199246128167
38,0.4629152255540183,66.19203330317245,32.923548925776835,3.5550926425124647
39,0.30595983501670987,66.3605169392825,27.427207596736956,3.7561501470190355
40,0.3456128656709724,66.51551379810012,31.305171935107595,4.021863117033941
41,0.7581393814087255,66.55037539542815,42.88137523362115,4.047482622451135
42,0.436677913494125,66.69620531279392,25.942273702197653,4.2986319050979285
43,0.5873017466184265,66.82165515656321,26.114158851413368,4.566704576426903
